Geo Point;Geo Shape;ID;Code TAF/TAP;Nom symbolique;Abréviation LST FR courte;Abréviation LST NL courte;Abréviation LST FR complète;Abréviation LST NL complète;Nom FR court;Nom NL court;Nom FR moyen;Nom NL moyen;Nom FR complet;Nom NL complet;Classification en néerlandais;Classification en anglais;Classification en anglais
51.1060814272,5.05818413736;"{""type"": ""Point"", ""coordinates"": [5.058184137362566, 51.10608142719721]}";1284;BE01284;VEXCH;V.EXXON CHEM;V.EXXON CHEM;VERB.EXXON CHEMICALS;VERB.EXXON CHEMICALS;V.Exxon Chem;V.Exxon Chem;Verb.Exxon Chemicals;Verb.Exxon Chemicals;Verb.Exxon Chemicals;Verb.Exxon Chemicals;Verbinding;Raccordement;Raccordement
50.5391737568,5.28886231709;"{""type"": ""Point"", ""coordinates"": [5.288862317087049, 50.53917375683876]}";24;BE00024;NA;AMPSIN;AMPSIN;AMPSIN;AMPSIN;Ampsin;Ampsin;Ampsin;Ampsin;Ampsin;Ampsin;Stopplaats;Point d'arrêt;Point d'arrêt
50.9035892912,4.67214105587;"{""type"": ""Point"", ""coordinates"": [4.672141055873, 50.90358929116862]}";553;BE00553;FET;HERENT;HERENT;HERENT;HERENT;Herent;Herent;Herent;Herent;Herent;Herent;Stopplaats;Point d'arrêt;Point d'arrêt
50.8179188892,4.2915393541;"{""type"": ""Point"", ""coordinates"": [4.291539354096088, 50.81791888922874]}";2089;BE02089;ANDL;ANDERLECHT;ANDERLECHT;ANDERLECHT;ANDERLECHT;Anderlecht;Anderlecht;Anderlecht;Anderlecht;Anderlecht;Anderlecht;Stopplaats;Point d'arrêt;Point d'arrêt
50.3425631059,4.28896423513;"{""type"": ""Point"", ""coordinates"": [4.288964235133939, 50.3425631058875]}";1139;BE01139;NTH;THUIN;THUIN;THUIN;THUIN;Thuin;Thuin;Thuin;Thuin;Thuin;Thuin;Stopplaats;Point d'arrêt;Point d'arrêt
50.928593459,3.96251672003;"{""type"": ""Point"", ""coordinates"": [3.962516720030858, 50.92859345900588]}";367;BE00367;FRPM;ERPE-MERE;ERPE-MERE;ERPE-MERE;ERPE-MERE;Erpe-Mere;Erpe-Mere;Erpe-Mere;Erpe-Mere;Erpe-Mere;Erpe-Mere;Stopplaats;Point d'arrêt;Point d'arrêt
51.2705180002,4.30023199554;"{""type"": ""Point"", ""coordinates"": [4.30023199553756, 51.27051800015234]}";1320;BE01320;VSTOR;V.STORAGE;V.STORAGE;VERB.KALLO STORAGE;VERB.KALLO STORAGE;V.Storage;V.Storage;Verb.Kallo Storage;Verb.Kallo Storage;Verb.Kallo Storage;Verb.Kallo Storage;Verbinding;Raccordement;Raccordement
50.7661473855,4.44935705473;"{""type"": ""Point"", ""coordinates"": [4.449357054734747, 50.76614738550304]}";486;BE00486;MDL;GROENENDAAL;GROENENDAAL;GROENENDAAL;GROENENDAAL;Groenendaal;Groenendaal;Groenendaal;Groenendaal;Groenendaal;Groenendaal;Stopplaats;Point d'arrêt;Point d'arrêt
51.1823171544,4.44718764497;"{""type"": ""Point"", ""coordinates"": [4.44718764497344, 51.18231715443352]}";864;BE00864;GMOD;DEURNESTWG;DEURNESTWG;MORTSEL-DEURNESTEENWEG;MORTSEL-DEURNESTEENWEG;Deurnestwg;Deurnestwg;Mortsel-Deurnestwg;Mortsel-Deurnestwg;Mortsel-Deurnesteenweg;Mortsel-Deurnesteenweg;Stopplaats;Point d'arrêt;Point d'arrêt
50.9392171808,5.49930163459;"{""type"": ""Point"", ""coordinates"": [5.499301634593769, 50.939217180834014]}";453;BE00453;FKGR0;GENK-ZRO-230;GENK-ZRO-230;GENK-ZUID-R.O.-L230;GENK-ZUID-R.O.-L230;Genk-ZRO-230;Genk-ZRO-230;Genk-Zuid-R.O.-L230;Genk-Zuid-R.O.-L230;Genk-Zuid-R.O.-L230;Genk-Zuid-R.O.-L230;Verbinding;Raccordement;Raccordement
50.5869692577,3.87397462971;"{""type"": ""Point"", ""coordinates"": [3.873974629710535, 50.58696925769232]}";247;BE00247;FUC;CAMBRON-CAST;CAMBRON-CAST;CAMBRON-CASTEAU;CAMBRON-CASTEAU;Cambron-Cast;Cambron-Cast;Cambron-Casteau;Cambron-Casteau;Cambron-Casteau;Cambron-Casteau;Stopplaats;Point d'arrêt;Point d'arrêt
50.8965450567,4.58493060094;"{""type"": ""Point"", ""coordinates"": [4.584930600937595, 50.896545056704205]}";368;BE00368;MRP;ERPS-KWERPS;ERPS-KWERPS;ERPS-KWERPS;ERPS-KWERPS;Erps-Kwerps;Erps-Kwerps;Erps-Kwerps;Erps-Kwerps;Erps-Kwerps;Erps-Kwerps;Stopplaats;Point d'arrêt;Point d'arrêt
50.5674171371,5.36684589573;"{""type"": ""Point"", ""coordinates"": [5.366845895730812, 50.56741713711802]}";1336;BE01336;RDUMO;R.DUMONT-W;R.DUMONT-W;RACC.DUMONT-WAUTHIER;RACC.DUMONT-WAUTHIER;R.Dumont-W;R.Dumont-W;Racc.Dumont-Wauthier;Racc.Dumont-Wauthier;Racc.Dumont-Wauthier;Racc.Dumont-Wauthier;Verbinding;Raccordement;Raccordement
51.2903488319,4.38439844788;"{""type"": ""Point"", ""coordinates"": [4.384398447879228, 51.29034883194519]}";253;BE00253;FNDPT;ANTW-ND-TCT;ANTW-ND-TCT;ANTWERPEN-NOORD-PERRON T.C.T.;ANTWERPEN-NOORD-PERRON T.C.T.;Antw-Nd-TCT;Antw-Nd-TCT;Antw-Nd-Perron TCT;Antw-Nd-Perron TCT;Antwerpen-Noord-Perron T.C.T.;Antwerpen-Noord-Perron T.C.T.;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.8517801817,4.36221976027;"{""type"": ""Point"", ""coordinates"": [4.362219760273288, 50.85178018171959]}";216;BE00216;FBCO;BRUX-CONGRES;BRUSS-CONGR;BRUXELLES-CONGRES;BRUSSEL-CONGRES;Brux-Congrès;Bruss-Congr;Bruxelles-Congrès;Brussel-Congres;Bruxelles-Congrès;Brussel-Congres;Stopplaats;Point d'arrêt;Point d'arrêt
51.2961684696,4.35885803714;"{""type"": ""Point"", ""coordinates"": [4.358858037135756, 51.29616846963881]}";59;BE00059;FNCHW;ANTW-N-P.CHW;ANTW-N-P.CHW;ANTWERPEN-NOORD-PERRON CHW;ANTWERPEN-NOORD-PERRON CHW;Antw-N-P.CHW;Antw-N-P.CHW;Antw-Nd-Perron CHW;Antw-Nd-Perron CHW;Antwerpen-Noord-Perron CHW;Antwerpen-Noord-Perron CHW;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.496949661,5.0784474632;"{""type"": ""Point"", ""coordinates"": [5.078447463203369, 50.49694966096671]}";1301;BE01301;RCARM;R.CARMEUSE-A;R.CARMEUSE-A;RACC.ANDENNE-CARMEUSE;RACC.ANDENNE-CARMEUSE;R.Carmeuse-A;R.Carmeuse-A;Racc.Andenne-Carm;Racc.Andenne-Carm;Racc.Andenne-Carmeuse;Racc.Andenne-Carmeuse;Verbinding;Raccordement;Raccordement
50.687655086,3.82429942006;"{""type"": ""Point"", ""coordinates"": [3.824299420055703, 50.687655085954084]}";952;BE00952;FAP;PAPIGNIES;PAPIGNIES;PAPIGNIES;PAPIGNIES;Papignies;Papegem;Papignies;Papegem;Papignies;Papegem;Stopplaats;Point d'arrêt;Point d'arrêt
51.2746590002,4.33257299553;"{""type"": ""Point"", ""coordinates"": [4.332572995526782, 51.274659000154614]}";60;BE00060;KRSCB;KRUISSCHANSB;KRUISSCHANSB;KRUISSCHANSBRUG;KRUISSCHANSBRUG;Kruisschansb;Kruisschansb;Kruisschansbrug;Kruisschansbrug;Kruisschansbrug;Kruisschansbrug;Beweegbare brug;Pont mobile;Pont mobile
51.2912761943,4.29447745484;"{""type"": ""Point"", ""coordinates"": [4.294477454839734, 51.29127619434891]}";1324;BE01324;VHALT;V.HALTERMAN;V.HALTERMAN;VERB.HALTERMAN;VERB.HALTERMAN;V.Halterman;V.Halterman;Verb.Halterman;Verb.Halterman;Verb.Halterman;Verb.Halterman;Verbinding;Raccordement;Raccordement
50.578090649,4.53350004147;"{""type"": ""Point"", ""coordinates"": [4.533500041466834, 50.57809064902886]}";1189;BE01189;LLE;VILLERS-LA-V;VILLERS-LA-V;VILLERS-LA-VILLE;VILLERS-LA-VILLE;Villers-la-V;Villers-la-V;Villers-la-Ville;Villers-la-Ville;Villers-la-Ville;Villers-la-Ville;Stopplaats;Point d'arrêt;Point d'arrêt
49.8692558706,5.22827642623;"{""type"": ""Point"", ""coordinates"": [5.228276426227321, 49.86925587061369]}";1349;BE01349;RJEHO;R.JEHONVILLE;R.JEHONVILLE;RACC.JEHONVILLE-M.D.N.;RACC.JEHONVILLE-M.D.N.;R.Jéhonville;R.Jéhonville;Racc.Jéhonville-MDN;Racc.Jéhonville-MDN;Racc.Jéhonville-M.D.N.;Racc.Jéhonville-M.D.N.;Verbinding;Raccordement;Raccordement
50.4799724204,5.60948536046;"{""type"": ""Point"", ""coordinates"": [5.609485360456145, 50.479972420359594]}";1338;BE01338;RBLRO;R.BELLE-ROCH;R.BELLE-ROCH;RACC.BELLE-ROCHE;RACC.BELLE-ROCHE;R.Belle-Roch;R.Belle-Roch;Racc.Belle-Roche;Racc.Belle-Roche;Racc.Belle-Roche;Racc.Belle-Roche;Verbinding;Raccordement;Raccordement
50.952950902,3.78098222327;"{""type"": ""Point"", ""coordinates"": [3.780982223267348, 50.95295090201307]}";860;BE00860;FZM;MOORTSELE;MOORTSELE;MOORTSELE;MOORTSELE;Moortsele;Moortsele;Moortsele;Moortsele;Moortsele;Moortsele;Stopplaats;Point d'arrêt;Point d'arrêt
50.5655731853,5.37207759237;"{""type"": ""Point"", ""coordinates"": [5.372077592370611, 50.5655731853081]}";1371;BE01371;RPAL;R.PALIFOR;R.PALIFOR;RACC.PALIFOR;RACC.PALIFOR;R.Palifor;R.Palifor;Racc.Palifor;Racc.Palifor;Racc.Palifor;Racc.Palifor;Verbinding;Raccordement;Raccordement
50.818168822,4.40370653744;"{""type"": ""Point"", ""coordinates"": [4.403706537440202, 50.81816882201772]}";1388;BE01388;DSTIB;R.DELTA-STIB;V.DELTA-MIVB;RACC.DELTA-STIB;VERB.DELTA-MIVB;R.Delta-STIB;V.Delta-MIVB;Racc.Delta-STIB;Verb.Delta-MIVB;Racc.Delta-STIB;Verb.Delta-MIVB;Verbinding;Raccordement;Raccordement
50.8096682131,4.39841318214;"{""type"": ""Point"", ""coordinates"": [4.398413182138806, 50.809668213079775]}";1912;BE01912;GAR;ARCADES;ARCADEN;ARCADES;ARCADEN;Arcades;Arcaden;Arcades;Arcaden;Arcades;Arcaden;Stopplaats;Point d'arrêt;Point d'arrêt
50.6553985678,5.529727348;"{""type"": ""Point"", ""coordinates"": [5.529727348004881, 50.65539856777397]}";1409;BE01409;ANSPL;ANS-PLANS;ANS-PLANS;ANS-PLANS;ANS-PLANS;Ans-Plans;Ans-Plans;Ans-Plans;Ans-Plans;Ans-Plans;Ans-Plans;Andere;Autre;Autre
51.2773360748,4.33669335436;"{""type"": ""Point"", ""coordinates"": [4.336693354357908, 51.277336074759496]}";1378;BE01378;VACS;V.ACS;V.ACS;VERB.ACS;VERB.ACS;V.ACS;V.ACS;Verb.ACS;Verb.ACS;Verb.ACS;Verb.ACS;Verbinding;Raccordement;Raccordement
50.5138331529,4.35409518478;"{""type"": ""Point"", ""coordinates"": [4.354095184775153, 50.51383315289609]}";970;BE00970;FPN;PONT-CELLES;PONT-CELLES;PONT-A-CELLES;PONT-A-CELLES;Pont-Celles;Pont-Celles;Pont-à-Celles;Pont-à-Celles;Pont-à-Celles;Pont-à-Celles;Stopplaats;Point d'arrêt;Point d'arrêt
51.4779738577,4.73062938371;"{""type"": ""Point"", ""coordinates"": [4.730629383709783, 51.47797385765516]}";1217;BE01217;1217;L4-S249X(NL);L4-S249X(NL);LIJN 4-STOPMERKBORDEN 249X(NL);LIJN 4-STOPMERKBORDEN 249X(NL);L4-S249x(NL);L4-S249x(NL);L4-Stpmrkbrd249x(NL);L4-Stpmrkbrd249x(NL);Lijn 4-Stopmerkborden 249x(NL);Lijn 4-Stopmerkborden 249x(NL);Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.8348886163,3.35204210434;"{""type"": ""Point"", ""coordinates"": [3.352042104341546, 50.83488861627298]}";315;BE00315;LDK;V.CASIER;V.CASIER;VERB.DEERLIJK-CASIER;VERB.DEERLIJK-CASIER;V.Casier;V.Casier;Verb.Deerlijk-Casier;Verb.Deerlijk-Casier;Verb.Deerlijk-Casier;Verb.Deerlijk-Casier;Verbinding;Raccordement;Raccordement
50.9443955728,4.66325395798;"{""type"": ""Point"", ""coordinates"": [4.663253957979468, 50.94439557278965]}";507;BE00507;HBS;HAMBOS;HAMBOS;HAMBOS;HAMBOS;Hambos;Hambos;Hambos;Hambos;Hambos;Hambos;Stopplaats;Point d'arrêt;Point d'arrêt
51.0861026189,4.35295840396;"{""type"": ""Point"", ""coordinates"": [4.352958403961992, 51.08610261893111]}";1972;BE01972;VCLST;V.CLUSTER;V.CLUSTER;VERB.BEDRIJVENCLUSTER PUURS;VERB.BEDRIJVENCLUSTER PUURS;V.Cluster;V.Cluster;Verb.Cluster Puurs;Verb.Cluster Puurs;Verb.Bedrijvencluster Puurs;Verb.Bedrijvencluster Puurs;Verbinding;Raccordement;Raccordement
51.2859800002,4.32860999553;"{""type"": ""Point"", ""coordinates"": [4.32860999552922, 51.2859800001504]}";1416;BE01416;VKBYR;V.KAN-BAYER;V.KAN-BAYER;VERB.KANAALDOK B1-BAYER;VERB.KANAALDOK B1-BAYER;V.Kan-Bayer;V.Kan-Bayer;Verb.Kanaaldok-Bayer;Verb.Kanaaldok-Bayer;Verb.Kanaaldok B1-Bayer;Verb.Kanaaldok B1-Bayer;Verbinding;Raccordement;Raccordement
50.9016185564,4.41471041475;"{""type"": ""Point"", ""coordinates"": [4.41471041475129, 50.90161855638709]}";1057;BE01057;FSRQC;SCHAERB-QCPI;SCHAARB-PPCI;SCHAERBEEK-QUAI C.P.I;SCHAARBEEK-PERRON P.C.I.;Schaerb-QCPI;Schaarb-PPCI;Schaerbeek-Q.C.P.I;Schaarbeek-P.P.C.I.;Schaerbeek-Quai C.P.I;Schaarbeek-Perron P.C.I.;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.9368207133,5.30287469323;"{""type"": ""Point"", ""coordinates"": [5.302874693231789, 50.936820713303845]}";526;BE00526;WDT35;HAS-AFL.35;HAS-AFL.35;HASSELT-AFLOS L.35;HASSELT-AFLOS L.35;Has-Afl.35;Has-Afl.35;Hasselt-Aflos L.35;Hasselt-Aflos L.35;Hasselt-Aflos L.35;Hasselt-Aflos L.35;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.7725362697,5.48501651592;"{""type"": ""Point"", ""coordinates"": [5.485016515919515, 50.77253626968669]}";1426;BE01426;VAUTO;V.AUTOTRANSP;V.AUTOTRANSP;VERB.HESSENATIE-AUTOTRANSPORT;VERB.HESSENATIE-AUTOTRANSPORT;V.Autotransp;V.Autotransp;Verb.Autotransport;Verb.Autotransport;Verb.Hessenatie-Autotransport;Verb.Hessenatie-Autotransport;Verbinding;Raccordement;Raccordement
50.8229982545,4.31859710241;"{""type"": ""Point"", ""coordinates"": [4.318597102410148, 50.82299825447319]}";237;BE00237;FBKIC;BRUX-PI-CARW;BRUS-KE-CARW;BRUXELLES-PETITE-ILE-CARWASH;BRUSSEL-KLEIN-EILAND-CARWASH;Brux-PI-Carw;Brus-KE-Carw;Bruxelles-PI-Carwash;Brussel-KE-Carwash;Bruxelles-Petite-Ile-Carwash;Brussel-Klein-Eiland-Carwash;Dienstinstallatie;Installation de service;Installation de service
50.855995807,3.24296888901;"{""type"": ""Point"", ""coordinates"": [3.242968889006073, 50.8559958069989]}";1443;BE01443;VHESS;V.H.ESSERS;V.H.ESSERS;VERB.H.ESSERS;VERB.H.ESSERS;V.H.Essers;V.H.Essers;Verb.H.Essers;Verb.H.Essers;Verb.H.Essers;Verb.H.Essers;Verbinding;Raccordement;Raccordement
51.2669719013,4.27859854977;"{""type"": ""Point"", ""coordinates"": [4.278598549771857, 51.266971901308295]}";1991;BE01991;T007;L208 - L211;L208 - L211;LIJN 208-KRUISING LIJN 211;LIJN 208-KRUISING LIJN 211;L208 - L211;L208 - L211;L208-Kruising L211;L208-Kruising L211;Lijn 208-Kruising lijn 211;Lijn 208-Kruising lijn 211;Rooster;Gril;Gril
50.9011604617,4.41943934555;"{""type"": ""Point"", ""coordinates"": [4.419439345552045, 50.90116046170404]}";1075;BE01075;FSRCP;SCHAERB-CPI;SCHAARB-PCI;SCHAERBEEK-C.P.I.;SCHAARBEEK-P.C.I.;Schaerb-CPI;Schaarb-PCI;Schaerbeek-C.P.I.;Schaarbeek-P.C.I.;Schaerbeek-C.P.I.;Schaarbeek-P.C.I.;Dienstinstallatie;Installation de service;Installation de service
50.9375470924,5.3040958403;"{""type"": ""Point"", ""coordinates"": [5.3040958403006, 50.9375470924329]}";529;BE00529;FHS35;HAS-AFL.35/1;HAS-AFL.35/1;HASSELT-AFLOS L.35/1;HASSELT-AFLOS L.35/1;Has-Afl.35/1;Has-Afl.35/1;Hasselt-Aflos L.35/1;Hasselt-Aflos L.35/1;Hasselt-Aflos L.35/1;Hasselt-Aflos L.35/1;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.6064757146,5.57233052026;"{""type"": ""Point"", ""coordinates"": [5.572330520258771, 50.60647571458771]}";358;BE00358;NKREL;KINKEMP-REL;KINKEMP-REL;KINKEMPOIS-RELAIS;KINKEMPOIS-RELAIS;Kinkemp-Rel;Kinkemp-Rel;Kinkempois-Relais;Kinkempois-Relais;Kinkempois-Relais;Kinkempois-Relais;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.8176522258,4.31463501167;"{""type"": ""Point"", ""coordinates"": [4.314635011668773, 50.817652225808715]}";416;BE00416;FOVRQ;FOREST-Q.SV;VORST-DNST.P;FOREST-VOITURES-QUAI SERVICE;VORST-RIJTUIGEN-DIENSTPERRON;Forest-Q.Sv;Vorst-Dnst.p;Forest-V-Quai Serv;Vorst-R-Dienstperron;Forest-Voitures-Quai Service;Vorst-Rijtuigen-Dienstperron;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.6265230045,3.84703067668;"{""type"": ""Point"", ""coordinates"": [3.847030676684665, 50.6265230044962]}";796;BE00796;RCO;LE COUCOU;LE COUCOU;LE COUCOU-BASE LGV;LE COUCOU-BASE LGV;Le Coucou;Le Coucou;Le Coucou-Base LGV;Le Coucou-Base LGV;Le Coucou-Base LGV;Le Coucou-Base LGV;Dienstinstallatie;Installation de service;Installation de service
51.2800292912,4.33579243487;"{""type"": ""Point"", ""coordinates"": [4.335792434874788, 51.28002929115216]}";2049;BE02049;VACS2;V.ACS2;V.ACS2;VERB.ACS2;VERB.ACS2;V.ACS2;V.ACS2;Verb.ACS2;Verb.ACS2;Verb.ACS2;Verb.ACS2;Verbinding;Raccordement;Raccordement
51.2720800002,4.30214499554;"{""type"": ""Point"", ""coordinates"": [4.302144995537046, 51.272080000152044]}";1321;BE01321;VLANX;V.LANXESS;V.LANXESS;VERB.LANXESS;VERB.LANXESS;V.Lanxess;V.Lanxess;Verb.Lanxess;Verb.Lanxess;Verb.Lanxess;Verb.Lanxess;Verbinding;Raccordement;Raccordement
51.029577694,3.75244833484;"{""type"": ""Point"", ""coordinates"": [3.752448334843789, 51.02957769395329]}";1724;BE01724;FUGW;GENTBR-PCW;GENTBR-PCW;GENTBRUGGE-PERRON C.W.;GENTBRUGGE-PERRON C.W.;Gentbr-PCW;Gentbr-PCW;Gentbrugge-Perron CW;Gentbrugge-Perron CW;Gentbrugge-Perron C.W.;Gentbrugge-Perron C.W.;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
51.2378658378,4.33239014927;"{""type"": ""Point"", ""coordinates"": [4.332390149269362, 51.237865837825666]}";2056;BE02056;VMEXN;V.MEXICONAT;V.MEXICONAT;VERB.MEXICONATIE;VERB.MEXICONATIE;V.Mexiconat;V.Mexiconat;Verb.Mexiconatie;Verb.Mexiconatie;Verb.Mexiconatie;Verb.Mexiconatie;Verbinding;Raccordement;Raccordement
50.5873406428,5.43553117529;"{""type"": ""Point"", ""coordinates"": [5.435531175289563, 50.58734064284101]}";1337;BE01337;REUGL;R.EUROGAL;R.EUROGAL;RACC.EUROGAL;RACC.EUROGAL;R.Eurogal;R.Eurogal;Racc.Eurogal;Racc.Eurogal;Racc.Eurogal;Racc.Eurogal;Verbinding;Raccordement;Raccordement
51.310556874,4.31790141782;"{""type"": ""Point"", ""coordinates"": [4.317901417817822, 51.31055687403744]}";1818;BE01818;1818;L10-S.KL/LL;L10-S.KL/LL;LIJN 10-SEINEN KL/LL;LIJN 10-SEINEN KL/LL;L10-S.KL/LL;L10-S.KL/LL;Lijn 10-Seinen KL/LL;Lijn 10-Seinen KL/LL;Lijn 10-Seinen KL/LL;Lijn 10-Seinen KL/LL;Blocksein met melding;Signal de bloc avec repérage;Signal de bloc avec repérage
50.8797697932,4.41181441317;"{""type"": ""Point"", ""coordinates"": [4.411814413173305, 50.879769793225016]}";509;BE00509;HMIVB;R.HAREN-STIB;V.HAREN-MIVB;RACC.HAREN-STIB;VERB.HAREN-MIVB;R.Haren-STIB;V.Haren-MIVB;Racc.Haren-STIB;Verb.Haren-MIVB;Racc.Haren-STIB;Verb.Haren-MIVB;Verbinding;Raccordement;Raccordement
51.2197473647,2.9355386292;"{""type"": ""Point"", ""coordinates"": [2.935538629204543, 51.21974736465414]}";949;BE00949;FSDPT;OOSTENDE-TOP;OOSTENDE-TOP;OOSTENDE-PERRON T.O.P.;OOSTENDE-PERRON T.O.P.;Oostende-TOP;Oostende-TOP;Oostende-Perron TOP;Oostende-Perron TOP;Oostende-Perron T.O.P.;Oostende-Perron T.O.P.;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.8228109873,4.24758480816;"{""type"": ""Point"", ""coordinates"": [4.247584808163649, 50.822810987309055]}";1904;BE01904;1904;BR-FL L50C;BR-VL L50C;FRONT. BRUXELLES-FLANDRE L50C;GRENS BRUSSEL-VLAANDEREN L50C;Br-Fl L50C;Br-Vl L50C;Front. Br-Fl L50C;Grens Br-Vl L50C;Front. Bruxelles-Flandre L50C;Grens Brussel-Vlaanderen L50C;6;6;6
51.1157410553,5.01695456104;"{""type"": ""Point"", ""coordinates"": [5.016954561044393, 51.11574105525017]}";1448;BE01448;VIVAR;V.IVAREM;V.IVAREM;VERB.IVAREM;VERB.IVAREM;V.Ivarem;V.Ivarem;Verb.Ivarem;Verb.Ivarem;Verb.Ivarem;Verb.Ivarem;Verbinding;Raccordement;Raccordement
50.5879716818,5.42525551686;"{""type"": ""Point"", ""coordinates"": [5.425255516861498, 50.58797168179342]}";1359;BE01359;AIG;AIGREMONT;AIGREMONT;AIGREMONT-BLOCK 8.7;AIGREMONT-BLOCK 8.7;Aigremont;Aigremont;Aigremont-Block 8.7;Aigremont-Block 8.7;Aigremont-Block 8.7;Aigremont-Block 8.7;Rooster;Gril;Gril
50.8763695467,4.71814423334;"{""type"": ""Point"", ""coordinates"": [4.718144233344671, 50.87636954668082]}";1943;BE01943;FLVEB;LEUVEN-EBP;LEUVEN-EBP;LEUVEN-EBP SPOREN 471/472;LEUVEN-EBP SPOREN 471/472;Leuven-EBP;Leuven-EBP;Leuven-EBP 471/472;Leuven-EBP 471/472;Leuven-EBP sporen 471/472;Leuven-EBP sporen 471/472;Andere;Autre;Autre
51.1042233837,5.06881724315;"{""type"": ""Point"", ""coordinates"": [5.06881724314579, 51.104223383711336]}";1450;BE01450;VDEBT;V.DE BONTE;V.DE BONTE;VERB.DE BONTE;VERB.DE BONTE;V.De Bonte;V.De Bonte;Verb.De Bonte;Verb.De Bonte;Verb.De Bonte;Verb.De Bonte;Verbinding;Raccordement;Raccordement
50.5871923608,5.43463914702;"{""type"": ""Point"", ""coordinates"": [5.434639147017281, 50.58719236084817]}";1384;BE01384;SEGAL;R.SEGAL;R.SEGAL;RACC.SEGAL;RACC.SEGAL;R.Ségal;R.Ségal;Racc.Ségal;Racc.Ségal;Racc.Ségal;Racc.Ségal;Verbinding;Raccordement;Raccordement
50.9553162785,3.89763604259;"{""type"": ""Point"", ""coordinates"": [3.897636042587616, 50.95531627847741]}";2133;BE02133;2133;L50A-S342;L50A-S342;LIJN 50A-SEINEN 342;LIJN 50A-SEINEN 342;L50A-S342;L50A-S342;Lijn 50A-Seinen 342;Lijn 50A-Seinen 342;Lijn 50A-Seinen 342;Lijn 50A-Seinen 342;Blocksein met melding;Signal de bloc avec repérage;Signal de bloc avec repérage
51.1355653216,4.94178130403;"{""type"": ""Point"", ""coordinates"": [4.941781304031226, 51.135565321619204]}";1467;BE01467;LGCT;GEEL-TERMIN;GEEL-TERMIN;GEEL-CONTAINERTERMINAL;GEEL-CONTAINERTERMINAL;Geel-Termin;Geel-Termin;Geel-Containerterm;Geel-Containerterm;Geel-Containerterminal;Geel-Containerterminal;Verbinding;Raccordement;Raccordement
50.8810833968,5.50653829118;"{""type"": ""Point"", ""coordinates"": [5.50653829118438, 50.88108339680465]}";1509;BE01509;BVRST;BEVERST;BEVERST;BEVERST;BEVERST;Beverst;Beverst;Beverst;Beverst;Beverst;Beverst;Blocksein met melding;Signal de bloc avec repérage;Signal de bloc avec repérage
50.9706996389,3.85403407137;"{""type"": ""Point"", ""coordinates"": [3.854034071368519, 50.97069963890184]}";2134;BE02134;2134;L50A-S394;L50A-S394;LIJN 50A-SEINEN 394;LIJN 50A-SEINEN 394;L50A-S394;L50A-S394;Lijn 50A-Seinen 394;Lijn 50A-Seinen 394;Lijn 50A-Seinen 394;Lijn 50A-Seinen 394;Blocksein met melding;Signal de bloc avec repérage;Signal de bloc avec repérage
50.8849838825,4.40094826066;"{""type"": ""Point"", ""coordinates"": [4.400948260657051, 50.88498388251922]}";1042;BE01042;FSRPV;SCHAERB-QF;SCHAARB-PV;SCHAERBEEK-QUAI FORMATION;SCHAARBEEK-PERRON VORMING;Schaerb-QF;Schaarb-PV;Schaerbeek-Q.Form;Schaarbeek-P.Vorming;Schaerbeek-Quai Formation;Schaarbeek-Perron Vorming;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
51.2430264188,4.336312436;"{""type"": ""Point"", ""coordinates"": [4.336312435996704, 51.24302641881978]}";1464;BE01464;VBAYR;V.BAYER R;V.BAYER R;VERB.BAYER RUBBER;VERB.BAYER RUBBER;V.Bayer R;V.Bayer R;Verb.Bayer Rubber;Verb.Bayer Rubber;Verb.Bayer Rubber;Verb.Bayer Rubber;Verbinding;Raccordement;Raccordement
50.7073675778,5.10123184778;"{""type"": ""Point"", ""coordinates"": [5.101231847778261, 50.70736757782965]}";403;BE00403;403;FL-WA 2 L2;VL-WA 2 L2;FRONT. FLANDRE-WALLONIE 2 L2;GRENS VLAANDEREN-WALLONIE 2 L2;Fl-Wa 2 L2;Vl-Wa 2 L2;Front. Fl-Wa 2 L2;Grens Vl-Wa 2 L2;Front. Flandre-Wallonie 2 L2;Grens Vlaanderen-Wallonië 2 L2;6;6;6
51.0721326796,3.74289672743;"{""type"": ""Point"", ""coordinates"": [3.742896727427253, 51.07213267955098]}";1488;BE01488;T017;L204 - L58/2;L204 - L58/2;LIJN 204-KRUISING LIJN 58/2;LIJN 204-KRUISING LIJN 58/2;L204 - L58/2;L204 - L58/2;L204-Kruising L58/2;L204-Kruising L58/2;Lijn 204-Kruising lijn 58/2;Lijn 204-Kruising lijn 58/2;Rooster;Gril;Gril
